,SEQNOS,TRAIN_NAME_NUMBER,RAILROAD_NAME,TRAIN_TYPE,TRACK_SPEED,TRAIN_SPEED,TRAIN_DIRECTION,NUMBER_LOCOMOTIVES,NUMBER_CARS,NUMBER_DERAILED,NON_COMPLIANCE_WITH_HAZMAT
67,1268286,ZLPKLAC9-07,BNSF,FREIGHT,,,W,5.0,58.0,0.0,N
68,1268290,A8211-09,AMTRAK,PASSENGER,,,S,2.0,2.0,,U
69,1268311,516-09,AMTRAK,PASSENGER,,,N,1.0,13.0,0.0,U
70,1268327,P647,SOUTH FLORIDA REGIONAL TRANSPORT AUTH,COMMUTER,,,,1.0,3.0,,N
71,1268334,ZCHCPTL 709,BNSF,FREIGHT,,,W,4.0,80.0,,N
72,1268379,HTACPAS809,BNSF RAILWAY,FREIGHT,,,E,2.0,89.0,0.0,N
73,1268395,CNAMAMH 004,BNSF,FREIGHT,,,S,4.0,120.0,,N
74,1268406,320 OF THE 10TH,METRO LINK,PASSENGER,79.0,,E,1.0,5.0,,N
75,1268408,TRAIN 9,FRONT RUNNER,PASSENGER,,,S,1.0,3.0,,N
76,1268409,QCHIROB609,BNSF RAILWAY,FREIGHT,,,S,3.0,66.0,,U
77,1268411,UNKNOWN,PORT AUTHORITY (PATH RAILROAD),PASSENGER,,5.0,W,,7.0,,U
78,1268411,NONE,PORT AUTHORITY (PATH RAILROAD),PASSENGER,,5.0,W,,7.0,,U
79,1268475,288.11,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,N,,,,U
80,1268478,Q58511,CSX RAILROAD,FREIGHT,,,S,2.0,43.0,,U
81,1268480,NS1096,NORFOLK SOUTHERN RAILROAD,LOCOMOTIVE,,,,,,,U
82,1268481,PO5011,AMTRAK,PASSENGER,,,,,,,U
83,1268502,XWLMCRK810,BNSF RAILWAY,FREIGHT,,,E,2.0,116.0,,U
84,1268525,MNPAL-9,UNION PACIFIC RAILROAD,FREIGHT,,,,,192.0,30.0,U
85,1268527,7721,LONG ISLAND RAILROAD,COMMUTER,80.0,,W,,12.0,,U
86,1268528,1845FCHURCHTO197TH,NY CITY TRANSIT,SUBWAY,,,N,,8.0,,U
87,1268529,MNPAL OF THE 9TH,UNION PACIFIC RAILROAD,FREIGHT,,,,,192.0,30.0,U
88,1268535,MOGRV OF THE 12TH,UNION PACIFIC RAILROAD,FREIGHT,,,W,,,,U
89,1268548,MNPAL OF THE 9TH,UNION PACIFIC RAILROAD,FREIGHT,,,,,192.0,38.0,U
90,1268567,CPDX112024,MISSISSIPPI EXORT RAILROAD,RAIL CAR,,,,,,,U
91,1268570,NONE,BNSF RAILWAY,OTHER,,,,,,,U
92,1268597,STCBLPC109B,BNSF RAILWAY,FREIGHT,,,E,3.0,72.0,,N
93,1268599,2110-13,AMTRAK,PASSENGER,,,N,,,,U
94,1268618,CPDX112024,MISSISSIPPI EXORT RAILROAD,RAIL CAR,,,,,,,U
95,1268620,IC1021,EJ AND E,FREIGHT,,,E,1.0,11.0,,N
96,1268621,L52291-13,CANADIAN NATIONAL RAILROAD,FREIGHT,,,S,,,,U
97,1268633,35N.13,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,W,3.0,107.0,,U
98,1268634,AML812113M,METRO LINK,COMMUTER,,,E,2.0,5.0,,U
99,1268636,AMT546 OF THE 13TH,AMTRAK,PASSENGER,,,,2.0,4.0,,U
100,1268638,546,AMTRAK WEST,PASSENGER,,,N,,,,U
101,1268639,1011,NJ TRANSIT RAIL OPERATIONS,COMMUTER,20.0,,W,1.0,4.0,,U
