,SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
0,1267708,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,FIRE FIGHTING WATER,YES,0.0,UNKNOWN AMOUNT
1,1267709,NTO,000000-00-0,,1878.08,POUND(S),NITROUS OXIDE,NO,,
2,1267711,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,HERBICIDES,NO,,
3,1267711,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,PESTICIDES,NO,,
4,1267712,CRF,000000-00-0,,10.0,POUND(S),CHLOROFORM,NO,,
5,1267712,EDC,000000-00-0,,100.0,POUND(S),ETHYLENE DICHLORIDE,NO,,
6,1267713,OIL,000000-00-0,,1.5,GALLON(S),OIL: CRUDE,YES,1.5,GALLON(S)
7,1267714,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,OTHER OIL / POSSIBLY USED GREASE,YES,0.0,UNKNOWN AMOUNT
8,1267715,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0.0,UNKNOWN AMOUNT
9,1267716,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
10,1267717,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
11,1267718,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",UNKNOWN,0.0,UNKNOWN AMOUNT
12,1267719,ODS,000000-00-0,,120000.0,GALLON(S),OIL: DIESEL,NO,,
13,1267719,OLB,000000-00-0,,1200.0,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
14,1267719,OTH,000000-00-0,,650.0,GALLON(S),OTHER OIL,NO,,
15,1267720,OIL,000000-00-0,,30.0,BARREL(S),OIL: CRUDE,YES,0.0,UNKNOWN AMOUNT
16,1267721,OIL,000000-00-0,,50.0,BARREL(S),OIL: CRUDE,NO,,
17,1267722,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
18,1267725,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,PAPER ROLLS,NO,,
19,1267725,ODS,000000-00-0,,200.0,GALLON(S),OIL: DIESEL,NO,,
20,1267726,CMO,000000-00-0,,0.0,UNKNOWN AMOUNT,CARBON MONOXIDE,NO,,
21,1267726,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,NITROGEN OXIDE,NO,,
22,1267726,SFD,000000-00-0,,0.0,UNKNOWN AMOUNT,SULFUR DIOXIDE,NO,,
23,1267727,ODS,000000-00-0,,3000.0,GALLON(S),OIL: DIESEL,NO,,
24,1267729,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
25,1267729,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,WATER,YES,0.0,UNKNOWN AMOUNT
26,1267731,OIL,000000-00-0,,2000.0,BARREL(S),OIL: CRUDE,NO,,
27,1267732,AMA,007664-41-7,,137.8,POUND(S),"AMMONIA, NON-ANHYDROUS",NO,,
28,1267733,OTW,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2",YES,0.0,UNKNOWN AMOUNT
29,1267734,ODS,000000-00-0,,1.0,CUP(S),OIL: DIESEL,NO,,
30,1267735,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
31,1267736,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,ALCOHOL,NO,,
32,1267736,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,CEMENT,NO,,
33,1267736,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,CORN,NO,,
34,1267736,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,DENATURED FUEL ETHANOL,NO,,
35,1267737,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
36,1267737,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
37,1267740,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
38,1267744,AMA,007664-41-7,,0.0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
39,1267746,GAS,000000-00-0,,100.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0.0,UNKNOWN AMOUNT
40,1267747,OLB,000000-00-0,,25.0,GALLON(S),"OIL, MISC: LUBRICATING",YES,0.0,UNKNOWN AMOUNT
41,1267748,OTF,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: TRANSFORMER",UNKNOWN,0.0,UNKNOWN AMOUNT
42,1267748,PCB,000000-00-0,,0.0,UNKNOWN AMOUNT,POLYCHLORINATED BIPHENYLS,UNKNOWN,0.0,UNKNOWN AMOUNT
43,1267749,OTF,000000-00-0,,40.0,GALLON(S),"OIL, MISC: TRANSFORMER",UNKNOWN,0.0,UNKNOWN AMOUNT
44,1267750,OIL,000000-00-0,,1.2,CUP(S),OIL: CRUDE,YES,1.2,CUP(S)
45,1267751,OIL,000000-00-0,,1.0,BARREL(S),OIL: CRUDE,NO,,
46,1267752,OIL,000000-00-0,,0.1,GALLON(S),OIL: CRUDE,YES,0.1,GALLON(S)
47,1267753,ODS,000000-00-0,,60.0,GALLON(S),OIL: DIESEL,NO,,
48,1267754,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
49,1267755,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,"UNKNOWN MATERIAL, GREEN LIQUID",YES,0.0,UNKNOWN AMOUNT
50,1267756,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
51,1267757,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
52,1267758,NCC,000000-00-0,,22.0,TON(S),GRAY WATER,YES,22.0,TON(S)
53,1267759,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,FREON,UNKNOWN,0.0,UNKNOWN AMOUNT
54,1267760,OTW,000000-00-0,,400.0,GALLON(S),"OIL, FUEL: NO. 2",YES,0.0,UNKNOWN AMOUNT
55,1267761,OIL,000000-00-0,,500.0,BARREL(S),OIL: CRUDE,YES,500.0,BARREL(S)
56,1267762,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
57,1267763,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
58,1267764,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
59,1267766,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,FIBERGLASS,YES,0.0,UNKNOWN AMOUNT
60,1267766,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,PAINT,YES,0.0,UNKNOWN AMOUNT
61,1267770,OTH,000000-00-0,,500.0,GALLON(S),"OTHER OIL (OILY MIXTURE, PROBABLY AUTO OIL)",NO,,
62,1267771,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
63,1267772,OHY,000000-00-0,,5.0,GALLON(S),HYDRAULIC OIL,YES,0.5,GALLON(S)
64,1267773,GAS,000000-00-0,,100.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
65,1267774,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,TIRES,YES,0.0,UNKNOWN AMOUNT
66,1267775,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,OILY WASTE,YES,0.0,UNKNOWN AMOUNT
67,1267776,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,SALT-SAND MIXTURE (ICE SLICER),YES,0.0,UNKNOWN AMOUNT
68,1267777,OTH,000000-00-0,,15.0,GALLON(S),GEAR OIL,YES,0.5,GALLON(S)
69,1267778,OIL,000000-00-0,,2.0,GALLON(S),OIL: CRUDE,YES,2.0,GALLON(S)
70,1267780,GAS,000000-00-0,,30.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
71,1267781,ODS,000000-00-0,,5.0,GALLON(S),OIL: DIESEL,NO,,
72,1267782,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0.0,UNKNOWN AMOUNT
73,1267783,OUN,000000-00-0,,2.0,PINT(S),UNKNOWN OIL,YES,2.0,PINT(S)
74,1267784,CLX,007782-50-5,,3000.0,GALLON(S),CHLORINE (2.14 PARTS PER MILLION),NO,,
75,1267786,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
76,1267786,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0.0,UNKNOWN AMOUNT
77,1267788,ODS,000000-00-0,,60.0,GALLON(S),OIL: DIESEL,YES,1.0,GALLON(S)
78,1267789,GAS,000000-00-0,,5.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,5.0,GALLON(S)
79,1267790,SFA,007664-93-9,,90.0,GALLON(S),SULFURIC ACID,NO,,
80,1267791,OMT,000000-00-0,,12.0,GALLON(S),"OIL, MISC: MOTOR",UNKNOWN,2.0,GALLON(S)
81,1267792,ODS,000000-00-0,,200.0,GALLON(S),OIL: DIESEL,NO,,
82,1267793,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,CREOSOTE,YES,0.0,UNKNOWN AMOUNT
83,1267794,OHY,000000-00-0,,2.0,LITER(S),HYDRAULIC FLUID,YES,0.8,LITER(S)
84,1267795,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,UNKNOWN,0.0,UNKNOWN AMOUNT
85,1267796,OHY,000000-00-0,,3.0,LITER(S),HYDRAULIC OIL,YES,0.0,UNKNOWN AMOUNT
86,1267797,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,CONCRETE,YES,0.0,UNKNOWN AMOUNT
87,1267797,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0.0,UNKNOWN AMOUNT
88,1267799,CBB,000075-15-0,,4769.0,POUND(S),CARBON DISULFIDE,NO,,
89,1267799,HDS,007783-06-4,,9604.0,POUND(S),HYDROGEN SULFIDE,NO,,
90,1267799,SFD,000000-00-0,,9030.0,POUND(S),SULFUR DIOXIDE,NO,,
91,1267801,ODS,000000-00-0,,10.0,GALLON(S),OIL: DIESEL,YES,5.0,GALLON(S)
92,1267803,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
93,1267804,OMT,000000-00-0,,95.0,GALLON(S),"OIL, MISC: MOTOR (40-WEIGHT)",YES,95.0,GALLON(S)
94,1267805,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,CASTING WATER,YES,0.0,UNKNOWN AMOUNT
95,1267806,OTW,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2",UNKNOWN,0.0,UNKNOWN AMOUNT
96,1267807,OHY,000000-00-0,,50.0,GALLON(S),HYDRAULIC OIL,YES,5.0,GALLON(S)
97,1267808,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
98,1267809,NCC,000000-00-0,,2.0,CUP(S),ASPHALT,UNKNOWN,0.0,UNKNOWN AMOUNT
99,1267811,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
100,1267812,OHY,000000-00-0,,0.0,UNKNOWN AMOUNT,HYDRAULIC OIL,NO,,
101,1267812,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
102,1267812,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,STEERING FLUID,NO,,
103,1267812,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,TRANSMISSION FLUID,NO,,
104,1267813,AMA,007664-41-7,,231.2,POUND(S),"AMMONIA, NON ANHYDROUS",NO,,
105,1267817,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
106,1267817,OIL,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: CRUDE,NO,,
107,1267818,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
108,1267819,CMO,000000-00-0,,5520.12,POUND(S),CARBON MONOXIDE,NO,,
109,1267819,NCC,000000-00-0,,2765.07,POUND(S),OXIDES OF NITROGEN,NO,,
110,1267820,VCM,000075-01-4,,20.0,POUND(S),VINYL CHLORIDE,NO,,
111,1267821,OTH,000000-00-0,,15.0,GALLON(S),JET FUEL,NO,,
112,1267822,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
113,1267823,ODS,000000-00-0,,60.0,GALLON(S),OIL: DIESEL,YES,40.0,GALLON(S)
114,1267824,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
115,1267825,GAS,000000-00-0,,130.0,BARREL(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
116,1267826,OMT,000000-00-0,,4.0,GALLON(S),"OIL, MISC: MOTOR",YES,0.0,UNKNOWN AMOUNT
117,1267828,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
118,1267829,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
119,1267831,NCC,000000-00-0,,300.0,GALLON(S),TREATED PROCESS WATER POSSIBLY CONTAINING F034,YES,0.0,UNKNOWN AMOUNT
120,1267832,OIL,000000-00-0,,0.01,GALLON(S),OIL: CRUDE,YES,0.01,GALLON(S)
121,1267833,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,POTENTIALLY TAR MIXED WITH FIRE-FIGHTING WATER,YES,0.0,UNKNOWN AMOUNT
122,1267834,OHY,000000-00-0,,5.0,GALLON(S),CLARITY HYDRAULIC OIL,YES,5.0,GALLON(S)
123,1267835,OHY,000000-00-0,,10.0,GALLON(S),HYDRAULIC OIL,YES,5.0,GALLON(S)
124,1267837,OTD,000000-00-0,,0.5,GALLON(S),"OIL, FUEL: NO. 2-D",YES,0.0,UNKNOWN AMOUNT
125,1267838,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (PREMIUM),NO,,
126,1267839,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
127,1267840,GAS,000000-00-0,,50.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,5.0,GALLON(S)
128,1267841,GAS,000000-00-0,,50.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
129,1267842,OUN,000000-00-0,,2.0,GALLON(S),UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
130,1267844,EAL,000000-00-0,,0.0,UNKNOWN AMOUNT,ETHANOL,YES,0.0,UNKNOWN AMOUNT
131,1267846,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,OILY SLUDGE MATERIAL,YES,1.0,LITER(S)
132,1267847,OIL,000000-00-0,,3.0,BARREL(S),OIL: CRUDE,YES,1.0,BARREL(S)
133,1267848,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
134,1267849,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,RED DIESEL FUEL,YES,0.0,UNKNOWN AMOUNT
135,1267853,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
136,1267854,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
137,1267855,NNP,000000-00-0,,0.0,UNKNOWN AMOUNT,NONYLPHENOL,NO,,
138,1267857,OMT,000000-00-0,,200.0,GALLON(S),"OIL, MISC: MOTOR",YES,40.0,GALLON(S)
139,1267859,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,SWEET SMELLING HYDROCARBON,UNKNOWN,0.0,UNKNOWN AMOUNT
140,1267861,OHY,000000-00-0,,4.0,GALLON(S),HYDRAULIC OIL,YES,1.0,GALLON(S)
141,1267862,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,PAINT,NO,,
142,1267862,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,PAINT FUMES,NO,,
143,1267863,OHY,000000-00-0,,1.0,GALLON(S),HYDRAULIC OIL,YES,1.0,GALLON(S)
144,1267864,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
145,1267866,OIL,000000-00-0,,3.0,BARREL(S),OIL: CRUDE,NO,,
146,1267869,ONG,000000-00-0,,5226.0,CUBIC FEET,NATURAL GAS,NO,,
147,1267870,ODS,000000-00-0,,2.0,GALLON(S),OIL: DIESEL,NO,,
148,1267871,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
149,1267872,NCC,000000-00-0,,1.0,OUNCE(S),OCTADECANE,YES,1.0,OUNCE(S)
150,1267876,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
151,1267877,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0.0,UNKNOWN AMOUNT
152,1267877,RFG,000000-00-0,,0.0,UNKNOWN AMOUNT,REFRIGERANT GASES,UNKNOWN,0.0,UNKNOWN AMOUNT
153,1267878,ODS,000000-00-0,,500.0,GALLON(S),OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
154,1267879,OUN,000000-00-0,,5.0,GALLON(S),UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
155,1267880,OIL,000000-00-0,,3.0,BARREL(S),OIL: CRUDE,YES,0.0,UNKNOWN AMOUNT
156,1267881,OMT,000000-00-0,,5.0,GALLON(S),"OIL, MISC: MOTOR",NO,,
157,1267882,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN LIQUID,NO,,
158,1267883,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
159,1267885,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0.0,UNKNOWN AMOUNT
160,1267886,NNP,000000-00-0,,500.0,GALLON(S),NONYL PHENOL,NO,,
161,1267887,ODS,000000-00-0,,5.0,GALLON(S),OIL: DIESEL,YES,5.0,GALLON(S)
162,1267888,OHY,000000-00-0,,20.0,GALLON(S),HYDRAULIC OIL,YES,20.0,GALLON(S)
163,1267890,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
164,1267892,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,FERTLIZER (POTENTIAL RELEASE),NO,,
165,1267892,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,STEEL (POTENTIAL RELEASE),NO,,
166,1267892,NNP,000000-00-0,,500.0,GALLON(S),NONYLPHENOL,NO,,
167,1267893,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
168,1267895,OTD,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",YES,0.0,UNKNOWN AMOUNT
169,1267897,NCC,000000-00-0,,15000.0,GALLON(S),RAW UNTREATED SEWAGE,YES,0.0,UNKNOWN AMOUNT
170,1267898,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
171,1267898,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0.0,UNKNOWN AMOUNT
172,1267899,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0.0,UNKNOWN AMOUNT
173,1267900,OHY,000000-00-0,,0.0,UNKNOWN AMOUNT,HYDRAULIC OIL,UNKNOWN,0.0,UNKNOWN AMOUNT
174,1267901,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
175,1267902,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
176,1267903,ASX,000000-00-0,,5.0,GALLON(S),ALUMINUM SULFATE SOLUTION,NO,,
177,1267904,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
178,1267905,AMA,007664-41-7,,0.0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
179,1267906,HDS,007783-06-4,,0.0,UNKNOWN AMOUNT,HYDROGEN SULFIDE,NO,,
180,1267907,OTF,000000-00-0,,10.0,GALLON(S),"OIL, MISC: TRANSFORMER (NON-PCB)",YES,8.0,GALLON(S)
181,1267908,OHY,000000-00-0,,4.0,LITER(S),HYDRAULIC OIL (BIODEGRADABLE OIL),NO,,
182,1267912,GAS,000000-00-0,,3000.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0.0,UNKNOWN AMOUNT
183,1267913,ODS,000000-00-0,,1.0,GALLON(S),OIL: DIESEL,YES,1.0,GALLON(S)
184,1267914,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,SEWAGE,YES,0.0,UNKNOWN AMOUNT
185,1267917,DRM,000000-00-0,,0.008,GALLON(S),DRILLING MUD (CARBO DRILL DIESEL MUD),YES,0.008,GALLON(S)
186,1267918,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
187,1267919,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
188,1267921,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
189,1267922,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
190,1267924,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
191,1267925,MCR,007439-97-6,,0.0,UNKNOWN AMOUNT,MERCURY,NO,,
192,1267926,GAS,000000-00-0,,100.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
193,1267927,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
194,1267929,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
195,1267931,OIL,000000-00-0,,380.0,GALLON(S),OIL: CRUDE,NO,,
196,1267936,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
197,1267937,OLB,000000-00-0,,50.0,GALLON(S),"OIL, MISC: LUBRICATING",YES,0.0,UNKNOWN AMOUNT
198,1267938,OHY,000000-00-0,,3.0,GALLON(S),HYDRAULIC OIL,YES,0.0,UNKNOWN AMOUNT
199,1267940,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
200,1267942,PRP,000000-00-0,,0.0,UNKNOWN AMOUNT,PROPANE,NO,,
201,1267945,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
202,1267948,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,CHROMIC ACID,NO,,
203,1267948,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,HEXAVALENT,NO,,
204,1267948,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,TRIVALENT,NO,,
205,1267948,SFA,007664-93-9,,0.0,UNKNOWN AMOUNT,SULFURIC ACID,NO,,
206,1267948,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
207,1267949,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,SEWAGE,NO,,
208,1267950,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,FLY ASH,NO,,
209,1267951,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
210,1267953,OMT,000000-00-0,,4.73,GALLON(S),"OIL, MISC: MOTOR",UNKNOWN,0.0,UNKNOWN AMOUNT
211,1267954,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
212,1267954,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,ANTIFREEZE,NO,,
213,1267954,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
214,1267957,OLB,000000-00-0,,2.0,OUNCE(S),"OIL, MISC: LUBRICATING",NO,,
215,1267959,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,CITY WATER,YES,0.0,UNKNOWN AMOUNT
216,1267962,ETL,000000-00-0,,1035.0,POUND(S),ETHYLENE,NO,,
217,1267964,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN ODOR OR CHEMICAL,NO,,
218,1267965,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
219,1267966,ODS,000000-00-0,,2.0,QUART(S),OIL: DIESEL,YES,2.0,QUART(S)
220,1267968,NCC,000000-00-0,,101.0,POUND(S),CHLOROTETRAFLUOROPROPANE,NO,,
221,1267968,NCC,000000-00-0,,101.0,POUND(S),TETRAFLUOROPROPENE,NO,,
222,1267969,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
223,1267970,ODS,000000-00-0,,10.0,GALLON(S),OIL: DIESEL,YES,10.0,GALLON(S)
224,1267971,NCC,000000-00-0,,189.1,POUND(S),NON ANHYDROUS AMMONIA,NO,,
225,1267972,ODS,000000-00-0,,50.0,GALLON(S),OIL: DIESEL,NO,,
226,1267976,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
227,1267977,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0.0,UNKNOWN AMOUNT
228,1267979,NSV,000000-00-0,,0.5,EACH,.5 OF A CAPFUL OF NAPHTHA,NO,,
229,1267980,BNZ,000071-43-2,,0.0,UNKNOWN AMOUNT,BENZENE,NO,,
230,1267984,NCC,000000-00-0,,5.0,GALLON(S),PLASTIC PELLETS,NO,,
231,1267986,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
232,1267988,VCM,000075-01-4,,1.0,POUND(S),VINYL CHLORIDE,NO,,
