,SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1538,1269017,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1539,1269018,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1540,1269019,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
1541,1269020,HXA,000110-54-3,,55.0,GALLON(S),HEXANE,NO,,
1542,1269025,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,UNKNOWN,0.0,UNKNOWN AMOUNT
1543,1269025,OHY,000000-00-0,,0.0,UNKNOWN AMOUNT,HYDRAULIC OIL,UNKNOWN,0.0,UNKNOWN AMOUNT
1544,1269025,OLB,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: LUBRICATING",UNKNOWN,0.0,UNKNOWN AMOUNT
1545,1269026,ONG,000000-00-0,,213.0,MCF,NATURAL GAS,NO,,
1546,1269027,ODS,000000-00-0,,15.0,LITER(S),OIL: DIESEL,YES,1.0,LITER(S)
1547,1269031,AMA,007664-41-7,,0.0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1548,1269032,OHY,000000-00-0,,0.5,GALLON(S),HYDRAULIC OIL,YES,0.5,GALLON(S)
1549,1269033,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1550,1269034,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
1551,1269035,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1552,1269036,NOX,010544-72-6,,2012.0,POUND(S),OXIDES OF NITROGEN,NO,,
1553,1269037,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0.0,UNKNOWN AMOUNT
1554,1269039,OIL,000000-00-0,,1.0,PINT(S),OIL: CRUDE,YES,1.0,PINT(S)
1555,1269041,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
