,SEQNOS,MOBILE_TYPE,VEHICLE_NUMBER,TRAILER_NUMBER,VEHICLE_OWN_FUEL_CAPACITY,CARGO_CAPACITY,CARGO_CAPACITY_UNITS,AMOUNT_OF_CARGO_ON_BOARD,AMOUNT_OF_CARGO_ON_BOARD_UNITS,HAZMAT_CARRIER,CARRIER_LICENSED,NONCOMPLIANCE_WITH_HAZMAT,VEHICLE_YEAR,VEHICLE_MAKE,VEHICLE_MODEL
269,1270105,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
270,1270127,TRACTOR TRAILER TRUCK,F71050,,,,,,,U,U,U,,,
271,1270143,TANKER TRUCK,702432,,,,,,,N,N,U,,,
272,1270150,TRACTOR TRAILER TRUCK,TRUCK 18,,,,,,,N,N,N,,,
273,1270162,CONSTRUCTION VEHICLE,UNKNOWN,,,,,,,U,U,U,,,
274,1270169,TRACTOR TRAILER TRUCK,150959,,,,,,,N,U,U,,,
275,1270171,OTHER,SUV,,,,,,,U,U,U,,,
276,1270198,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
277,1270205,TANKER TRUCK,605,,90.0,,,,,Y,Y,U,,,
278,1270208,TANKER TRUCK,200116,,,,,,,U,U,U,,,
279,1270208,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
280,1270225,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
281,1270231,DUMP TRUCK,NONE,,,,,,,U,U,U,,,
282,1270231,PASSENGER CAR,UNKNOWN 1,,,,,,,U,U,U,,,
283,1270231,PASSENGER CAR,UNKNOWN 2,,,,,,,U,U,U,,,
284,1270231,PASSENGER TRUCK,UNKNOWN 3,,,,,,,U,U,U,,,
285,1270260,CONSTRUCTION VEHICLE,B95V,,,,,,,U,U,U,,,
286,1270268,CONSTRUCTION VEHICLE,UNKNOWN 2,,,,,,,U,U,U,,,
287,1270268,CONSTRUCTION VEHICLE,UNKNOWN 3,,,,,,,U,U,U,,,
288,1270268,CONSTRUCTION VEHICLE,UNKNOWN 1,,,,,,,U,U,U,,,
289,1270285,TRACTOR TRAILER,REG 915F22,,,,,,,U,U,U,,,
290,1270286,TRACTOR TRAILER,2911275,TKN82T,300.0,53.0,CUBIC FEET,,,U,U,U,,,
291,1270305,UNKNOWN,UNKNOWN VEHICLE,,,,,,,U,U,U,,,
292,1270306,TRACTOR TRAILER,IL T530499,,,,,,,U,U,U,,,
293,1270308,TRACTOR TRAILER,IL T530 499,,,,,,,U,U,U,,,
294,1270309,OTHER,GARBAGE TRUCK,,,,,,,U,U,U,,,
